Platform,Type,MIPIOPTION,EDPOPTION,Display1_PortB,Display2_PortC,Display3_PortD,Display4_PortE,SELECTMIPI
default,default,NA,No_Device-eDP-eDP_4K-eDP_DDRS-MIPI,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-VGA,NO
CFL,DT10,NA,No_Device-eDP,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,NA,NO
CFL,DT10,NA,No_Device-eDP,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,NA,NO
CFL,DT8,NA,No_Device-,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,NA,NO
CFL,ULT,NA,No_Device-eDP,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,NA,NO
CNL,HALO,NA,No_Device-eDP,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI,NO
CNL,ULT,NA,No_Device-eDP,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,NA,NO
CNL,ULX,NA,No_Device-eDP,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-LSPCON-USB_Type_C,NA,NO
GLK,RVP1,No_Device-MIPI,No_Device-eDP,No_Device-DP-DP_Only-HDMI,No_Device-HDMI-USB_Type_C,NA,NA,NO
KBL,RVP3,NA,No_Device-eDP-eDP_4K-eDP_DDRS,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,NA,NO
KBL,RVP7,NA,No_Device-eDP-eDP_4K-eDP_DDRS,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,NA,NO
KBL,RVP8,NA,No_Device,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,NA,NO
KBL,RVP11,NA,No_Device-eDP-eDP_4K-eDP_DDRS,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-VGA,NO
KBL,RVP10,NA,No_Device-eDP-eDP_4K-eDP_DDRS,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,NA,NO
SKL,ULX,NA,No_Device-eDP-eDP_4K-eDP_DDRS,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,NA,NO
SKL,ULT,NA,No_Device-eDP-eDP_4K-eDP_DDRS,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,NA,NO
SKL,DT8,NA,No_Device,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,NA,NO
SKL,HALO,NA,No_Device-eDP-eDP_4K-eDP_DDRS,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-VGA,NO
SKL,DT10,NA,No_Device-eDP-eDP_4K-eDP_DDRS,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,NA,NO
BXT,RVP,No_Device-MIPI,No_Device-eDP-eDP_DRRS,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,NA,NA,YES
BXT,APL,No_Device-MIPI,No_Device-eDP-eDP_DRRS,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,No_Device-DP-DP_Only-HDMI-DVI_Only-LSPCON-USB_Type_C,NA,NA,YES
CHV,HR,No_Device-MIPI,No_Device-eDP-eDP_DRRS,No_Device-DP-DP_Only-HDMI-DVI_only,No_Device,No_Device-DP-DP_Only-HDMI-DVI_only,NA,NO
CHV,RVP-CH2T,No_Device-MIPI,No_Device-eDP-MIPI,No_Device-DP-DP_Only-HDMI-DVI_only,No_Device,No_Device-DP-DP_Only-HDMI-DVI_only,NA,YES
CHV,RVP-CR,No_Device-MIPI,No_Device-eDP-eDP_DRRS,No_Device-DP-DP_Only-HDMI-DVI_only,No_Device,No_Device-DP-DP_Only-HDMI-DVI_only,NA,YES
CHV,BSW,NA,No_Device-eDP-eDP_DDRS,No_Device-DP-DP_Only-HDMI-DVI_only,No_Device,No_Device-DP-DP_Only-HDMI-DVI_only,NA,NO
BDW,ULX,NA,No_Device-eDP-eDP_DRRS,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,NA,NO
BDW,ULT,NA,No_Device-eDP-eDP_DRRS,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,NA,NO
BDW,HALO,NA,No_Device-eDP-eDP_4K-eDP_DRRS,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,NA,NO
HSW,MB,NA,No_Device-eDP-eDP_DRRS,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,NA,NO
HSW,DT,NA,No_Device-eDP-eDP_DRRS,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,NA,NO
HSW,ULT,NA,No_Device-eDP-eDP_DRRS,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,NA,NO
HSW,REFRESH,NA,No_Device-eDP-eDP_DRRS,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,NA,NO
HSW,ULT-REFRESH,NA,No_Device-eDP-eDP_DRRS,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,NA,NO
HSW-BDW,MB,NA,No_Device-eDP-eDP_DRRS,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,NA,NO
HSW-BDW,DT,NA,No_Device-eDP-eDP_DRRS,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,NA,NO
IVB,MB,NA,No_Device-eDP-LVDS,NA,NA,NA,NA,NO
IVB,DT,NA,No_Device-eDP-LVDS,NA,NA,NA,NA,NO
SNB,MB,NA,No_Device-eDP-LVDS,NA,NA,NA,NA,NO
SNB,DT,NA,No_Device-eDP-LVDS,NA,NA,NA,NA,NO
VLV,BYT-CR,NA,NA,NA,NA,NA,NA,YES
VLV,FFRD-ANDROID,NA,NA,NA,NA,NA,NA,YES
VLV,BBY,NA,NA,NA,NA,NA,NA,YES
VLV,BBY-HG,NA,NA,NA,NA,NA,NA,YES
VLV,BLK,NA,NA,NA,NA,NA,NA,YES
